key,name,stFipsOrRecipientId,profileType,link
PA-11,"Southwestern Pennsylvania Legal Services, Inc.",339080,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/southwestern-pennsylvania-legal-services-inc-program-profile
PA-23,Legal Aid of Southeastern Pennsylvania,339141,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-southeastern-pennsylvania-program-profile
PA-24,"North Penn Legal Services, Inc.",339070,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/north-penn-legal-services-inc-program-profile
PA-25,"MidPenn Legal Services, Inc.",339040,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/midpenn-legal-services-inc-program-profile
PA-26,Northwestern Legal Services,339111,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/northwestern-legal-services-program-profile
PA-5,"Laurel Legal Services, Inc.",339026,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/laurel-legal-services-inc-program-profile
PA-8,Neighborhood Legal Services,339060,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/neighborhood-legal-services-association-program-profile
PR,Puerto Rico,72,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/puerto-rico-state-profile
PR-1,"Puerto Rico Legal Services, Inc.",253010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/puerto-rico-legal-services-inc-program-profile
PR-2,"Community Law Office, Inc.",253030,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/community-law-office-inc-program-profile
RI,Rhode Island,44,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/rhode-island-legal-services-inc-program-profile
RI-1,"Rhode Island Legal Services, Inc.",140000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/rhode-island-legal-services-inc-program-profile
SC,South Carolina,45,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/south-carolina-legal-services-inc-program-profile
SC-8,"South Carolina Legal Services, Inc.",641030,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/south-carolina-legal-services-inc-program-profile
SD,South Dakota,46,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/south-dakota-state-profile
SD-2,East River Legal Services,542026,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/east-river-legal-services-program-profile
SD-4,"Dakota Plains Legal Services, Inc.",742018,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/dakota-plains-legal-services-inc-program-profile
TN,Tennessee,47,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/tennessee-state-profile
TN-10,Legal Aid Society of Middle Tennessee and the Cumberlands,643040,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-middle-tennessee-and-cumberlands-program-profile
TN-4,"Memphis Area Legal Services, Inc.",643030,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/memphis-area-legal-services-inc-program-profile
TN-7,"West Tennessee Legal Services, Inc.",643061,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/west-tennessee-legal-services-inc-program-profile
TN-9,Legal Aid of East Tennessee,643020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-east-tennessee-program-profile
TX,Texas,48,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/texas-state-profile
TX-13,Lone Star Legal Aid,744060,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/lone-star-legal-aid-program-profile
TX-14,Legal Aid of NorthWest Texas,744050,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-northwest-texas-program-profile
TX-15,"Texas RioGrande Legal Aid, Inc.",744100,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/texas-riogrande-legal-aid-inc-program-profile
